strike,call,put,call_settle,put_settle,vol,call_delta,put_delta,gamma,vega,theta,straddle,call_oi,put_oi,call_volume,put_volume,dens_call,dens_put,dens_total
65.0,24.85,0.01,25.53,0.01,263.92,1.0,0.0,0.001,0.00037,-0.01,24.86,0,1,0,0,0,0.001,0.001
67.5,22.35,0.01,23.03,0.01,235.99,1.0,0.0,0.001,0.00041,-0.01,22.36,0,1,0,0,0,0.001,0.001
70.0,19.85,0.01,20.53,0.01,208.06,1.0,0.0,0.001,0.00044,-0.01,19.86,,,,,,,
71.0,18.85,0.01,19.53,0.01,197.61,1.0,0.0,0.001,0.00047,-0.01,18.86,,,,,,,
71.5,18.35,0.01,19.03,0.01,192.43,1.0,0.0,0.002,0.00048,-0.01,18.36,,,,,,,
72.0,17.85,0.01,18.53,0.01,187.27,1.0,0.0,0.002,0.0005,-0.01,17.86,,,,,,,
72.5,17.35,0.01,18.03,0.01,182.14,1.0,0.0,0.002,0.00051,-0.01,17.36,0,1,0,0,0,0.002,0.002
73.0,16.85,0.01,17.53,0.01,177.04,1.0,0.0,0.002,0.00053,-0.01,16.86,0,1,0,0,0,0.002,0.002
73.5,16.35,0.01,17.03,0.01,171.95,1.0,0.0,0.002,0.00055,-0.01,16.36,0,1,0,0,0,0.002,0.002
74.0,15.85,0.01,16.53,0.01,166.9,1.0,0.0,0.002,0.00057,-0.01,15.86,,,,,,,
74.5,15.35,0.01,16.03,0.01,161.86,1.0,0.0,0.002,0.00058,-0.011,15.36,,,,,,,
75.0,14.85,0.01,15.53,0.01,156.84,1.0,-0.01,0.002,0.00061,-0.011,14.86,0,1,0,0,0,0.002,0.002
75.5,14.35,0.01,15.03,0.01,151.85,1.0,-0.01,0.002,0.00063,-0.011,14.36,,,,,,,
75.8,14.1,0.01,14.78,0.01,149.36,1.0,-0.01,0.003,0.00064,-0.011,14.11,,,,,,,
76.0,13.85,0.01,14.53,0.01,146.87,1.0,-0.01,0.003,0.00065,-0.011,13.86,0,1,0,0,0,0.003,0.003
76.3,13.6,0.01,14.28,0.01,144.39,1.0,-0.01,0.003,0.00066,-0.011,13.61,,,,,,,
76.5,13.35,0.01,14.03,0.01,141.92,1.0,-0.01,0.003,0.00068,-0.011,13.36,,,,,,,
76.8,13.1,0.01,13.78,0.01,139.45,1.0,-0.01,0.003,0.00069,-0.011,13.11,,,,,,,
77.0,12.85,0.01,13.53,0.01,136.98,1.0,-0.01,0.003,0.0007,-0.011,12.86,,,,,,,
77.3,12.6,0.01,13.28,0.01,134.52,1.0,-0.01,0.003,0.00072,-0.011,12.61,,,,,,,
77.5,12.35,0.01,13.03,0.01,132.06,1.0,-0.01,0.003,0.00073,-0.011,12.36,,,,,,,
77.8,12.1,0.01,12.78,0.01,129.61,1.0,-0.01,0.003,0.00075,-0.011,12.11,0,19,0,0,0,0.057,0.057
78.0,11.85,0.01,12.53,0.01,127.16,1.0,-0.01,0.004,0.00077,-0.012,11.86,,,,,,,
78.3,11.6,0.01,12.28,0.01,124.71,1.0,-0.01,0.004,0.00078,-0.012,11.61,0,37,0,0,0,0.148,0.148
78.5,11.35,0.01,12.03,0.01,122.27,1.0,-0.01,0.004,0.0008,-0.012,11.36,0,1,0,0,0,0.004,0.004
78.8,11.1,0.01,11.78,0.01,119.83,1.0,-0.01,0.004,0.00082,-0.012,11.11,0,1,0,0,0,0.004,0.004
79.0,10.85,0.01,11.53,0.01,117.39,1.0,-0.01,0.004,0.00084,-0.012,10.86,0,18,0,0,0,0.072,0.072
79.3,10.6,0.01,11.28,0.01,114.96,1.0,-0.01,0.004,0.00086,-0.012,10.61,,,,,,,
79.5,10.35,0.01,11.03,0.01,112.53,1.0,-0.01,0.005,0.00088,-0.012,10.36,0,18,0,0,0,0.09,0.09
79.8,10.1,0.01,10.78,0.01,110.1,1.0,-0.01,0.005,0.0009,-0.012,10.11,,,,,,,
80.0,9.85,0.01,10.53,0.01,107.68,1.0,-0.01,0.005,0.00093,-0.012,9.86,0,47,0,0,0,0.235,0.235
80.3,9.6,0.01,10.28,0.01,105.26,1.0,-0.01,0.005,0.00095,-0.013,9.61,0,1,0,0,0,0.005,0.005
80.5,9.35,0.01,10.03,0.01,102.84,1.0,-0.01,0.006,0.00098,-0.013,9.36,,,,,,,
80.8,9.1,0.02,9.79,0.02,109.67,1.0,-0.02,0.009,0.00157,-0.025,9.12,,,,,,,
81.0,8.85,0.02,9.54,0.02,107.08,1.0,-0.02,0.009,0.00161,-0.025,8.87,,,,,,,
81.3,8.6,0.03,9.29,0.02,104.49,1.0,-0.02,0.009,0.00165,-0.025,8.63,0,1,0,0,0,0.009,0.009
81.5,8.35,0.03,9.04,0.02,101.9,1.0,-0.02,0.01,0.0017,-0.025,8.38,,,,,,,
81.8,8.1,0.04,8.8,0.03,105.29,1.0,-0.02,0.013,0.00223,-0.038,8.14,,,,,,,
82.0,7.85,0.04,8.55,0.03,102.58,1.0,-0.02,0.013,0.00229,-0.038,7.89,0,2,0,1,0,0.026,0.026
82.3,7.6,0.04,8.3,0.03,99.88,1.0,-0.02,0.014,0.00236,-0.038,7.64,0,1,0,1,0,0.014,0.014
82.5,7.36,0.05,8.06,0.04,101.68,0.95,-0.03,0.017,0.00285,-0.051,7.41,0,71,0,2,0,1.207,1.207
82.8,7.12,0.05,7.81,0.04,98.87,0.95,-0.03,0.018,0.00293,-0.051,7.17,,,,,,,
83.0,6.89,0.06,7.57,0.05,99.77,0.94,-0.04,0.02,0.00341,-0.064,6.95,0,10,0,1,0,0.2,0.2
83.3,6.64,0.06,7.32,0.05,96.87,0.94,-0.04,0.022,0.00351,-0.065,6.7,,,,,,,
83.5,6.41,0.08,7.08,0.06,97.12,0.94,-0.05,0.024,0.00397,-0.077,6.48,,,,,,,
83.8,6.17,0.09,6.84,0.07,96.94,0.93,-0.05,0.027,0.00442,-0.09,6.26,,,,,,,
84.0,5.94,0.1,6.6,0.08,96.41,0.93,-0.06,0.03,0.00486,-0.103,6.04,0,3,0,4,0,0.09,0.09
84.3,5.7,0.12,6.36,0.09,95.6,0.92,-0.07,0.033,0.00529,-0.116,5.82,,,,,,,
84.5,5.47,0.13,6.12,0.1,94.55,0.92,-0.07,0.036,0.00571,-0.13,5.6,,,,,,,
84.8,5.23,0.14,5.88,0.11,93.28,0.91,-0.08,0.039,0.00614,-0.143,5.38,0,20,0,0,0,0.78,0.78
85.0,5.0,0.16,5.64,0.12,91.83,0.91,-0.09,0.043,0.00657,-0.157,5.16,0,98,0,22,0,4.214,4.214
85.3,4.78,0.18,5.41,0.14,91.84,0.89,-0.1,0.047,0.0072,-0.182,4.96,0,1,0,1,0,0.047,0.047
85.5,4.55,0.21,5.18,0.16,91.47,0.88,-0.11,0.051,0.00781,-0.208,4.76,0,5,0,6,0,0.255,0.255
85.8,4.33,0.23,4.95,0.18,90.76,0.87,-0.12,0.055,0.0084,-0.234,4.56,2,30,2,11,0.11,1.65,1.76
86.0,4.11,0.26,4.72,0.2,89.76,0.86,-0.14,0.06,0.00898,-0.26,4.37,4,104,2,95,0.24,6.24,6.48
86.3,3.9,0.3,4.5,0.23,89.69,0.84,-0.15,0.065,0.00967,-0.298,4.19,2,1,0,1,0.13,0.065,0.195
86.5,3.68,0.34,4.28,0.26,89.24,0.83,-0.17,0.069,0.01033,-0.337,4.02,0,2,0,2,0,0.138,0.138
86.8,3.47,0.38,4.06,0.29,88.44,0.81,-0.19,0.074,0.01095,-0.375,3.85,2,1,1,1,0.148,0.074,0.22199999999999998
87.0,3.27,0.43,3.85,0.33,88.31,0.79,-0.21,0.079,0.01163,-0.425,3.7,5,15,0,24,0.395,1.185,1.58
87.3,3.07,0.48,3.64,0.37,87.79,0.77,-0.23,0.084,0.01226,-0.476,3.55,2,7,2,1,0.168,0.588,0.756
87.5,2.88,0.53,3.43,0.41,86.93,0.75,-0.25,0.088,0.01286,-0.527,3.4,2,78,2,2,0.176,6.864,7.04
87.8,2.69,0.59,3.23,0.46,86.56,0.73,-0.27,0.093,0.01346,-0.59,3.28,1,1,0,2,0.093,0.093,0.186
88.0,2.51,0.66,3.04,0.52,86.6,0.71,-0.29,0.097,0.01404,-0.663,3.18,0,7,0,7,0,0.679,0.679
88.3,2.34,0.74,2.85,0.58,86.22,0.68,-0.32,0.101,0.01455,-0.737,3.07,,,,,,,
88.5,2.17,0.82,2.67,0.65,86.16,0.66,-0.34,0.104,0.01502,-0.822,2.99,1,7,1,4,0.104,0.728,0.832
88.8,2.01,0.91,2.49,0.72,85.71,0.63,-0.37,0.108,0.01542,-0.908,2.92,,,,,,,
89.0,1.85,1.0,2.32,0.8,85.53,0.6,-0.4,0.11,0.01575,-1.005,2.86,11,10,3,12,1.21,1.1,2.31
89.3,1.71,1.11,2.16,0.89,85.59,0.58,-0.42,0.112,0.01601,-1.112,2.82,4,8,2,8,0.448,0.896,1.344
89.5,1.57,1.22,2.0,0.98,85.23,0.55,-0.45,0.114,0.01619,-1.219,2.79,5,36,1,7,0.57,4.104,4.674
89.8,1.43,1.33,1.84,1.07,84.48,0.52,-0.48,0.115,0.01629,-1.328,2.76,5,6,1,4,0.575,0.69,1.265
90.0,1.31,1.46,1.7,1.18,84.54,0.49,-0.51,0.115,0.0163,-1.306,2.76,12,50,8,18,1.38,5.75,7.13
90.3,1.19,1.59,1.56,1.29,84.19,0.46,-0.54,0.115,0.01623,-1.185,2.77,6,70,4,34,0.69,8.05,8.74
90.5,1.07,1.71,1.42,1.4,83.42,0.43,-0.57,0.115,0.01607,-1.065,2.78,14,85,9,47,1.61,9.775,11.385
90.8,0.96,1.86,1.3,1.53,83.43,0.4,-0.6,0.114,0.01583,-0.964,2.83,7,0,7,5,0.798,0,0.798
91.0,0.86,2.01,1.18,1.66,83.01,0.38,-0.62,0.112,0.01551,-0.864,2.88,32,31,7,10,3.584,3.472,7.056
91.3,0.77,2.17,1.07,1.8,82.78,0.35,-0.65,0.109,0.01511,-0.774,2.95,2,49,2,33,0.218,5.341,5.559
91.5,0.68,2.33,0.96,1.94,82.12,0.32,-0.68,0.106,0.01462,-0.684,3.02,15,5,5,3,1.59,0.53,2.12
91.8,0.61,2.51,0.87,2.1,82.25,0.29,-0.7,0.102,0.01409,-0.612,3.12,10,12,6,5,1.02,1.224,2.2439999999999998
92.0,0.54,2.69,0.78,2.26,81.97,0.27,-0.73,0.098,0.0135,-0.541,3.23,9,85,5,40,0.882,8.33,9.212
92.3,0.48,2.88,0.7,2.43,81.92,0.25,-0.75,0.094,0.01287,-0.479,3.36,12,7,11,7,1.128,0.658,1.786
92.5,0.42,3.07,0.62,2.6,81.44,0.22,-0.78,0.089,0.01216,-0.417,3.48,47,105,11,44,4.183,9.345,13.528
92.8,0.36,3.26,0.55,2.78,81.2,0.2,-0.8,0.084,0.01145,-0.365,3.63,4,0,0,0,0.336,0,0.336
93.0,0.32,3.47,0.49,2.97,81.27,0.18,-0.82,0.079,0.01075,-0.32,3.79,48,128,44,100,3.792,10.112,13.904
93.3,0.28,3.67,0.43,3.16,80.92,0.16,-0.84,0.074,0.00999,-0.276,3.95,47,28,41,47,3.478,2.072,5.550000000000001
93.5,0.24,3.89,0.38,3.36,80.93,0.14,-0.85,0.069,0.00927,-0.24,4.13,14,28,3,20,0.966,1.932,2.8979999999999997
93.8,0.21,4.11,0.34,3.57,81.42,0.13,-0.87,0.063,0.00863,-0.213,4.32,4,5,1,10,0.252,0.315,0.567
94.0,0.18,4.33,0.3,3.78,81.54,0.12,-0.88,0.058,0.00795,-0.185,4.51,32,28,18,15,1.856,1.624,3.4800000000000004
94.3,0.16,4.56,0.27,4.0,82.27,0.1,-0.89,0.054,0.00739,-0.165,4.72,30,21,25,21,1.62,1.134,2.754
94.5,0.14,4.79,0.24,4.22,82.68,0.09,-0.9,0.049,0.0068,-0.145,4.93,3,59,1,0,0.147,2.891,3.038
94.8,0.12,5.02,0.21,4.44,82.74,0.08,-0.91,0.045,0.00619,-0.124,5.14,8,1,0,2,0.36,0.045,0.40499999999999997
95.0,0.11,5.25,0.19,4.67,83.64,0.07,-0.92,0.041,0.00574,-0.112,5.36,136,90,110,19,5.576,3.69,9.266
